Ticker,date,open,high,low,close,volume,Stock_exchange,IPO_Date,Headquarters,CEO,Products_and_Services,Primary_Competitors,Significant_Historical_Events
META,2012-06,28.892,33.45,31.095,25.52,667910500.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2012-07,31.25,32.88,21.71,21.61,520189700.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2012-08,21.5,22.45,18.058,18.03,1151944900.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2012-09,18.08,23.37,21.66,17.55,1058643700.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2012-10,22.08,24.25,21.11,18.8,1100938300.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2012-11,21.08,28.0,28.0,18.87,1527490200.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2012-12,27.9999,28.88,26.6197,25.15,1191832200.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-01,27.44,32.5063,30.981,27.42,1675851700.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-02,31.01,31.02,27.25,26.34,957639800.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-03,27.05,28.675,25.58,24.72,727180500.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
